Sample_ID,Date_Open,Total_Mass_Flux_g_m2_day ,Terrigenous_Flux_g_m2_day ,PON_Flux_mmoles_m2_day,POC_Flux_mmoles_m2_day,CaCO3_Flux_mmoles_m2_day,OPAL_Flux_mmoles_m2_day,TPP_Flux_umolesP_m2_day,PIP_Flux_umolesP_m2_day,POP_Flux_umolesP_m2_day
SBB 15-11,2001-03-07,2.00,1.52,0.58,4.61,1.69,6.37,117.65,102.33,15.33
SBB 15-12,2001-03-21,0.99,0.73,0.35,2.69,0.79,3.84,79.69,70.56,9.14
SBB 15-13,2001-04-04,0.42,0.25,0.19,1.39,0.29,3.42,,,
SBB 16-1,,,,,,,,,,
SBB 16-2,,,,,,,,,,
SBB 16-3,,,,,,,,,,
SBB 16-4,,,,,,,,,,
SBB 16-5,,,,,,,,,,
SBB 16-6,,,,,,,,,,
SBB 16-7,,,,,,,,,,
SBB 16-8,,,,,,,,,,
SBB 16-9,,,,,,,,,,
SBB 16-10,,,,,,,,,,
SBB 16-11,,,,,,,,,,
SBB 16-12,,,,,,,,,,
SBB 16-13,,,,,,,,,,
SBB 17-1,2001-10-17,1.81,1.23,0.66,6.03,1.66,8.00,136.53,119.03,17.51
SBB 17-2,2001-10-31,2.19,1.59,0.63,6.60,1.68,8.15,164.83,143.84,20.99
SBB 17-3,2001-11-14,2.03,1.56,0.55,5.38,1.36,6.15,158.41,141.54,16.87
SBB 17-4,2001-11-28,1.79,1.25,0.55,5.39,1.92,6.69,184.65,164.35,20.29
SBB 17-5,2001-12-12,0.35,0.21,0.15,1.34,0.31,2.45,22.61,18.70,3.91
SBB 17-6,2001-12-26,,,,,,,,,
SBB 17-7,2002-01-09,,,,,,,,,
SBB 17-8,2002-01-23,,,,,,,,,
SBB 17-9,2002-02-06,,,,,,,,,
SBB 17-10,2002-02-20,,,,,,,,,
SBB 17-11,2002-03-06,,,,,,,,,
SBB 17-12,2002-03-20,,,,,,,,,
SBB 17-13,2002-04-03,,,,,,,,,
SBB 18-1,2002-04-18,2.31,1.23,1.36,9.52,0.92,24.71,135.34,111.62,23.72
SBB 18-2,2002-05-01,2.56,1.17,1.33,10.58,0.87,34.97,179.14,155.96,23.18
SBB 18-3,2002-05-15,3.33,1.60,1.71,14.45,1.54,40.92,271.45,233.80,37.64
SBB 18-4,2002-05-29,2.63,1.27,1.20,9.87,1.03,34.22,149.34,123.66,25.68
SBB 18-5,2002-06-12,1.33,0.81,1.11,7.51,0.82,7.80,93.52,78.52,15.01
SBB 18-6,2002-06-26,1.31,0.79,0.92,7.20,0.66,8.50,99.33,84.04,15.29
SBB 18-7,2002-07-10,2.81,1.26,1.77,16.39,2.32,29.45,185.66,154.02,31.63
SBB 18-8,2002-07-24,1.79,1.39,2.02,5.91,0.94,4.71,83.70,70.19,13.51
SBB 18-9,2002-08-07,1.38,0.90,1.19,6.60,0.99,6.45,69.37,55.36,14.01
SBB 18-10,2002-08-21,0.76,0.53,0.74,4.36,0.42,2.02,48.69,39.90,8.79
SBB 18-11,2002-09-04,0.56,0.43,0.90,2.11,0.27,1.35,19.80,16.50,3.30
SBB 18-12,2002-09-18,0.96,0.79,2.06,2.21,0.52,1.85,33.41,28.58,4.83
SBB 18-13,2002-10-02,2.30,1.72,0.75,7.25,1.64,6.90,137.61,120.92,16.69
SBB 19-1,2002-10-16,1.37,,,,,,95.20,82.84,12.36
SBB 19-2,2002-10-30,2.22,,,,,,134.96,116.78,18.17
SBB 19-3,2002-11-13,,,,,,,,,
SBB 19-4,2002-11-27,,,,,,,,,
SBB 19-5,2002-12-11,,,,,,,,,
SBB 19-6,2002-12-25,,,,,,,,,
SBB 19-7,2003-01-08,,,,,,,,,
SBB 19-8,2003-01-22,,,,,,,,,
SBB 19-9,2003-02-05,,,,,,,,,
SBB 19-10,2003-02-19,,,,,,,,,
SBB 19-11,2003-03-05,,,,,,,,,
SBB 19-12,2003-03-19,,,,,,,,,
SBB 19-13,2003-04-02,,,,,,,,,
SBB 20-1,2003-06-06,1.69,1.03,0.73,5.81,1.37,12.34,88.01,72.34,15.67
SBB 20-2,2003-06-13,2.49,1.51,1.08,8.20,3.15,14.85,132.55,111.54,21.01
SBB 20-3,2003-06-20,4.50,2.96,1.85,12.47,6.36,19.02,224.81,193.32,31.49
SBB 20-4,2003-06-27,3.64,2.23,1.44,11.95,4.84,20.33,180.91,150.94,29.98
SBB 20-5,2003-07-04,2.60,1.47,1.16,9.44,2.93,19.51,139.92,112.20,27.71
